NO,GENDER ,1,2,3,4,5,6,7,8,9,10,TOTAL ,RESULT
1,P,3,2,2,6,6,6,6,6,6,3,46,1
2,P,5,2,5,5,3,2,4,2,5,5,38,1
3,P,3,2,1,4,3,1,1,3,2,2,22,0
4,P,4,3,2,4,5,2,3,3,4,2,32,0
5,L,4,2,2,4,2,2,4,3,5,4,32,1
6,P,5,3,1,1,1,1,3,2,1,1,19,0
7,P,5,6,2,5,6,5,4,3,6,5,47,1
8,P,2,2,3,2,2,2,2,2,2,3,22,0
9,P,4,3,4,6,4,3,4,5,5,5,43,1
10,L,5,3,2,5,4,3,1,4,3,4,34,1
11,P,5,2,5,2,2,3,4,1,5,3,32,0
12,P,4,2,3,3,2,2,3,3,5,5,32,0
13,P,2,4,5,6,2,2,2,2,4,5,34,1
14,P,5,4,2,4,4,4,3,3,4,5,38,1
15,P,6,2,1,3,4,3,5,5,5,4,38,1
16,L,4,3,1,3,2,2,4,3,3,4,29,0
17,L,4,4,4,4,4,4,3,4,4,4,39,1
18,P,5,6,2,5,2,2,2,2,4,2,32,0
19,P,5,5,5,6,5,6,5,5,5,5,52,1
20,P,5,4,2,5,5,4,4,5,5,5,44,1
21,L,6,3,2,4,2,1,1,5,3,1,28,0
22,P,3,4,4,3,4,4,3,5,4,5,39,1
23,P,4,6,3,5,4,3,5,4,6,5,45,1
24,P,5,2,2,4,4,5,5,3,5,5,40,1
25,P,3,4,2,4,3,4,4,4,4,4,36,1
26,P,6,5,5,2,4,1,2,1,5,2,33,1
27,P,4,4,2,3,3,4,5,2,4,6,37,1
28,L,6,3,2,3,5,3,1,6,6,5,40,1
29,P,2,2,2,4,4,3,2,3,4,1,27,0
30,P,5,5,3,4,4,3,3,4,5,4,40,1
31,L,4,5,6,5,2,2,3,3,5,2,37,1
32,L,5,3,2,5,3,2,3,3,5,6,37,1
33,L,2,5,2,5,2,1,2,5,5,2,31,1
34,P,5,5,5,6,5,4,6,5,6,5,52,1
35,P,6,5,5,4,1,2,1,5,2,2,33,1
36,P,4,2,2,4,2,3,4,4,5,3,33,1
37,L,5,3,3,2,5,5,3,5,5,3,39,1
38,P,1,3,2,4,4,2,3,3,3,2,27,0
39,P,4,5,6,5,5,4,4,4,5,5,47,1
40,L,2,4,4,4,2,3,2,3,4,3,31,1
41,P,3,5,3,6,5,3,5,5,5,2,42,1
42,L,2,1,1,2,2,2,2,2,2,2,18,0
43,P,5,4,5,3,4,4,3,5,4,5,42,1
44,P,3,3,5,4,2,2,1,5,4,2,31,0
45,P,4,3,2,5,2,2,4,2,5,2,31,0
46,P,3,3,5,5,3,3,5,4,5,4,40,1
47,P,4,2,6,6,2,2,2,4,5,3,36,1
48,P,3,2,1,5,3,2,4,5,5,5,35,1
49,P,3,2,2,5,5,5,5,5,3,4,39,1
50,P,2,4,3,6,4,1,4,5,4,1,34,1
51,P,4,5,2,2,2,2,2,4,5,5,33,1
52,L,3,4,4,2,3,3,4,3,2,5,33,1
53,P,5,1,2,1,1,1,2,2,2,2,19,0
54,P,2,2,2,4,2,4,4,3,4,2,29,0
55,P,2,3,3,5,3,3,3,3,5,3,33,1
56,P,5,2,3,6,3,3,4,3,6,4,39,1
57,P,3,1,1,5,3,5,3,5,3,5,34,1
58,P,5,3,4,3,2,3,3,2,5,4,34,1
59,P,3,3,5,5,3,3,5,4,5,4,40,1
60,P,6,4,2,5,3,2,4,3,5,3,37,1
61,L,4,3,4,5,5,5,4,5,4,5,44,1
62,P,2,2,2,5,3,2,2,5,4,4,31,0
63,P,4,4,2,3,1,2,1,1,4,3,25,0
64,P,4,4,3,4,2,2,3,3,4,4,33,1
65,P,2,1,2,2,3,1,4,1,3,2,21,0
66,L,4,4,5,4,3,3,4,3,5,3,38,1
67,P,4,2,4,5,2,2,4,2,4,5,34,1
68,P,4,2,1,4,3,2,3,3,4,4,30,0
69,L,4,5,5,2,5,2,2,3,1,6,35,1
70,L,2,2,2,2,2,2,2,2,5,2,23,0
71,L,3,5,1,6,6,5,5,5,4,6,46,1
72,L,5,2,2,6,4,3,5,3,5,6,41,1
73,P,5,4,4,5,4,2,4,3,4,6,41,1
74,P,4,3,4,3,1,2,4,2,5,5,33,1
75,P,5,4,4,5,3,2,5,2,5,4,39,1
76,P,3,5,5,1,3,3,3,3,5,5,36,1
77,P,3,2,4,5,2,2,3,5,6,5,37,1
78,P,4,5,3,6,6,6,6,3,6,6,51,1
79,P,1,2,3,2,2,3,5,5,2,5,30,0
80,P,4,2,3,4,3,4,2,4,4,5,35,1
81,L,4,4,5,4,3,2,3,2,4,4,35,1
82,L,4,2,2,3,3,3,3,2,5,3,30,0
83,P,1,2,2,4,2,2,2,2,4,3,24,0
84,P,4,4,3,2,1,4,3,4,5,4,34,1
85,P,5,2,4,5,5,4,3,4,4,3,39,1
86,P,1,1,1,2,2,1,1,1,1,1,12,0
87,P,6,1,3,5,5,3,3,5,2,1,34,1
88,P,4,2,2,5,3,2,3,3,2,3,29,0
89,P,5,2,2,2,2,2,2,2,2,2,23,0
90,P,5,3,3,2,1,2,1,3,4,3,27,0
91,L,5,2,4,5,6,2,3,1,3,5,36,1
92,P,5,5,3,4,3,4,4,5,5,5,43,1
93,P,2,2,2,2,2,3,1,2,4,2,22,0
94,P,4,5,1,6,4,3,5,5,6,3,42,1
95,P,6,3,1,6,2,4,2,3,2,3,32,0
96,P,3,5,4,6,5,3,3,5,4,4,42,1
97,P,4,5,1,3,2,1,2,2,4,5,29,0
98,P,3,1,4,4,4,3,3,4,4,4,34,1
99,P,5,4,4,4,3,3,4,3,5,3,38,1
100,L,5,4,1,4,4,3,4,4,4,2,35,1
101,P,3,2,1,3,3,2,4,5,4,2,29,0
102,P,1,1,1,2,1,1,1,3,3,1,15,0
103,L,2,2,2,1,3,2,5,5,2,5,29,0
104,P,2,4,4,6,6,6,6,4,6,4,48,1
