No.,Initial,Gender,Age,Class,Smartphone-usage Duration,Social Media Usage,The Most Frequent Access,1,2,3,4,5,6,7,8,9,10,Total,Result
1,DI,0,15,2,4,1,3,3,2,2,6,6,6,6,6,6,3,46,1
2,SA,0,13,1,2,1,3,5,2,5,5,3,2,4,2,5,5,38,1
3,SY,0,13,1,2,1,2,3,2,1,4,3,1,1,3,2,2,22,0
4,YA,0,13,1,2,1,3,4,3,2,4,5,2,3,3,4,2,32,0
5,MVFI,1,13,1,4,1,2,4,2,2,4,2,2,4,3,5,4,32,1
6,TF,0,12,1,1,0,4,5,3,1,1,1,1,3,2,1,1,19,0
7,AU,0,13,1,2,0,5,5,6,2,5,6,5,4,3,6,5,47,1
8,PU,0,12,1,2,1,3,2,2,3,2,2,2,2,2,2,3,22,0
9,BU,0,12,1,4,1,3,4,3,4,6,4,3,4,5,5,5,43,1
10,AR,1,14,2,2,1,3,5,3,2,5,4,3,1,4,3,4,34,1
11,YO,0,15,3,2,1,3,5,2,5,2,2,3,4,1,5,3,32,0
12,MELB,0,13,1,2,1,3,4,2,3,3,2,2,3,3,5,5,32,0
13,CE,0,14,2,2,1,3,2,4,5,6,2,2,2,2,4,5,34,1
14,NA,0,14,2,1,1,3,5,4,2,4,4,4,3,3,4,5,38,1
15,TA,0,13,1,2,1,3,6,2,1,3,4,3,5,5,5,4,38,1
16,AAR,1,14,3,2,0,1,4,3,1,3,2,2,4,3,3,4,29,0
17,J,1,13,1,2,1,2,4,4,4,4,4,4,3,4,4,4,39,1
18,AFNA,0,16,3,1,1,3,5,6,2,5,2,2,2,2,4,2,32,0
19,INI,0,16,3,3,1,3,5,5,5,6,5,6,5,5,5,5,52,1
20,NS,0,14,2,3,1,3,5,4,2,5,5,4,4,5,5,5,44,1
21,MFMAF,1,15,2,3,1,3,6,3,2,4,2,1,1,5,3,1,28,0
22,Zhr,0,14,2,2,1,5,3,4,4,3,4,4,3,5,4,5,39,1
23,NA,0,16,3,2,1,3,4,6,3,5,4,3,5,4,6,5,45,1
24,CH,0,14,3,4,1,2,5,2,2,4,4,5,5,3,5,5,40,1
25,SYI,0,15,2,2,1,3,3,4,2,4,3,4,4,4,4,4,36,1
26,PUT,0,15,3,2,1,1,6,5,5,2,4,1,2,1,5,2,33,1
27,RA,0,13,1,2,1,3,4,4,2,3,3,4,5,2,4,6,37,1
28,AA,1,14,2,3,1,3,6,3,2,3,5,3,1,6,6,5,40,1
29,No.,0,13,1,1,1,3,2,2,2,4,4,3,2,3,4,1,27,0
30,KH,0,13,1,3,1,3,5,5,3,4,4,3,3,4,5,4,40,1
