,Num Features,Features Used,Mean Accuracy,Std Accuracy
0,16,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration', 'Social Media Usage', 'Age', 'The Most Frequent Access', 'Gender']",0.9010897435897437,0.04959239678156756
1,15,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration', 'Social Media Usage', 'Age', 'The Most Frequent Access']",0.903525641025641,0.046250122163422364
2,14,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration', 'Social Media Usage', 'Age']",0.9010897435897436,0.057912719985290566
3,13,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration', 'Social Media Usage']",0.8959615384615385,0.05657831173088233
4,12,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class', 'Smartphone-usage Duration']",0.8755769230769233,0.06346441977401046
5,11,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8', 'Class']",0.8832692307692309,0.045267894598642645
6,10,"['5', '9', '6', '4', '7', '2', '3', '10', '1', '8']",0.8857051282051283,0.05090813198984613
7,9,"['5', '9', '6', '4', '7', '2', '3', '10', '1']",0.8932692307692308,0.05387304731333152
8,8,"['5', '9', '6', '4', '7', '2', '3', '10']",0.9033974358974358,0.05301638595271447
9,7,"['5', '9', '6', '4', '7', '2', '3']",0.9010897435897436,0.04707332851759244
10,6,"['5', '9', '6', '4', '7', '2']",0.8859615384615385,0.04666688679857916
11,5,"['5', '9', '6', '4', '7']",0.8403846153846155,0.07209244649442556
12,4,"['5', '9', '6', '4']",0.8501923076923077,0.05974692545986479
13,3,"['5', '9', '6']",0.8326282051282051,0.07248718969098275
14,2,"['5', '9']",0.8197435897435896,0.03856375306715605
15,1,['5'],0.7894871794871794,0.041559230325483025
