,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,31,50,11,0.9230769230769231,0.9545454545454546,0.9130434782608695,0.9333333333333333
1,1,31,50,11,0.9230769230769231,0.9166666666666666,0.9565217391304348,0.9361702127659575
2,2,31,50,11,0.8974358974358975,0.8888888888888888,0.8888888888888888,0.8888888888888888
3,3,31,50,11,0.9743589743589743,0.9444444444444444,1.0,0.9714285714285714
4,4,31,50,11,0.8717948717948718,0.8571428571428571,0.9,0.8780487804878049
5,5,31,50,11,1.0,1.0,1.0,1.0
6,6,31,50,11,0.8974358974358975,0.95,0.8636363636363636,0.9047619047619048
7,7,31,50,11,0.9487179487179487,0.9523809523809523,0.9523809523809523,0.9523809523809523
8,8,31,50,11,0.8947368421052632,0.9375,0.8333333333333334,0.8823529411764706
9,9,31,50,11,0.9210526315789473,0.9411764705882353,0.8888888888888888,0.9142857142857143
