,Fold,Hidden Layer Size,Max Iteration,N_Estimator,Accuracy,Recall,Precision,F1-Score
0,0,25,250,8,0.9743589743589743,1.0,0.96,0.9795918367346939
1,1,25,250,8,0.9230769230769231,0.9130434782608695,0.9545454545454546,0.9333333333333333
2,2,25,250,8,0.9230769230769231,0.8928571428571429,1.0,0.9433962264150944
3,3,25,250,8,0.9230769230769231,0.9473684210526315,0.9,0.9230769230769231
4,4,25,250,8,0.8461538461538461,0.8275862068965517,0.96,0.8888888888888888
5,5,25,250,8,0.9743589743589743,0.96,1.0,0.9795918367346939
6,6,25,250,8,0.8461538461538461,0.8636363636363636,0.8636363636363636,0.8636363636363636
7,7,25,250,8,0.9230769230769231,0.9130434782608695,0.9545454545454546,0.9333333333333333
8,8,25,250,8,0.9736842105263158,1.0,0.5,0.6666666666666666
9,9,25,250,8,1.0,0.0,0.0,0.0
