nama-daerah,pengunjung-dewasa,pengunjung-pelajar
mojokerto,409,296
malang,100,161
jakarta,18,43
probolinggo,1,3
medan,2,6
jombang,128,238
lamongan,96,43
surabaya,83,58
sidoarjo,68,63
bogor,8,1
jambi,1,0
yogyakarta,19,17
kediri,39,9
pasuruan,157,42
pati,2,2
nganjuk,183,28
tuban,34,23
gresik,24,55
magelang,1,2
pamulang,2,0
madiun,4,6
cilacap,2,2
manado,2,2
tulungagung,3,6
medan,2,6
banten,3,20
bojonegoro,163,279
pekalongan,2,4
lombok,2,0
ngawi,1,2
bali,13,12
palembang,4,4
aceh,1,0
bandung,3,4
blora,4,4
magetan,2,6
papua,6,0
kudus,1,3
bekasi,5,0
jember,14,21
pamekasan,3,0
