nama-daerah,total-pengunjung
mojokerto,705
malang,261
jakarta,61
probolinggo,4
medan,8
jombang,366
lamongan,139
surabaya,141
sidoarjo,131
bogor,9
jambi,1
yogyakarta,36
kediri,48
pasuruan,199
pati,4
nganjuk,211
tuban,57
gresik,79
magelang,3
pamulang,2
madiun,10
cilacap,4
manado,4
tulungagung,9
medan,8
banten,23
bojonegoro,442
pekalongan,6
lombok,2
ngawi,3
bali,25
palembang,8
aceh,1
bandung,7
blora,8
magetan,8
papua,6
kudus,4
bekasi,5
jember,35
pamekasan,3
